num,code_type,code,country,subject_type,senzing_feature,senzing_type_value,disposition,notes,count,unique_count,top_5_values
19,Identifier,Chamber of Commerce Number,Netherlands / Turkey / others,Organization,,,PAYLOAD,Company registration with Chamber of Commerce,,,
20,Identifier,Chinese Commercial Code (CCC),China,Organization,,,PAYLOAD,CN international trade code; not a registration,,,
21,Identifier,Clave Única de Identificación Permanente (CUIP),Mexico,Individual,NATIONAL_ID,CUIP,FEATURE,MX permanent personal ID,,,
22,Identifier,Clave Única de Registro de Población (CURP),Mexico,Individual,NATIONAL_ID,CURP,FEATURE,MX unique population registry ID; per entity spec,,,
23,Identifier,CNP (Personal Numerical Code),Romania,Individual,NATIONAL_ID,CNP,FEATURE,RO personal numerical code,,,
24,Identifier,Commercial Registry Number,Global,Organization,,,PAYLOAD,Company commercial registry number,,,
25,Identifier,Company Identification Number,Global,Organization,OTHER_ID,COMPANY_ID,FEATURE,Generic company ID number; include country,,,
26,Identifier,Company Registration Number,Global,Organization,,,PAYLOAD,Official company registration number,1,1,HE999999 (1)
27,Identifier,Company Tax ID,Global,Organization,TAX_ID,,FEATURE,Generic company tax ID; include country,,,
28,Identifier,Computerized National Identity Card (CNIC),Pakistan,Individual,NATIONAL_ID,CNIC,FEATURE,PK national ID card,,,
29,Identifier,Corporate Identification Number (CIN),India,Organization,NATIONAL_ID,CIN,FEATURE,IN company number from Registrar of Companies,,,
30,Identifier,CPF Number,Brazil,Individual,TAX_ID,CPF,FEATURE,BR individual taxpayer ID,,,
31,Identifier,CR number,Saudi Arabia / Bahrain / Qatar / UAE,Organization,NATIONAL_ID,CR,FEATURE,GCC commercial registration number,,,
32,Identifier,Customer ID,Global,Individual,,,PAYLOAD,Internal system identifier; not useful for cross-source ER,1,1,CUST-00042 (1)
33,Identifier,Customer Number Account (CNA),Global,Individual,,,PAYLOAD,Internal system identifier; not useful for cross-source ER,,,
34,Identifier,Data Universal Numbering System (DUNS),Global,Organization,DUNS_NUMBER,,FEATURE,Map directly to DUNS_NUMBER per crosswalk,1,1,123456789 (1)
35,Identifier,Digital Currency Address,Global,Individual / Organization,OTHER_ID,DIGITAL_CURRENCY,FEATURE,Crypto wallet address; unique identifier,,,
36,Identifier,Director Identification Number (DIN),India,Individual,NATIONAL_ID,DIN,FEATURE,IN unique director ID,,,
37,Identifier,Documento Nacional de Identidad (DNI),Spain,Individual,NATIONAL_ID,DNI,FEATURE,ES national identity card,,,
38,Identifier,Driver's License Number,Global,Individual,DRLIC,,FEATURE,Map to DRLIC per crosswalk; include state/country,1,1,D400-1234-5678 (1)
39,Identifier,Economic register number (CBLS),UAE,Organization,,,PAYLOAD,AE business registry number,,,
40,Identifier,Electoral Registry Number,Global,Individual,OTHER_ID,ELECTORAL_REG,FEATURE,National electoral roll ID; government-issued,,,
41,Identifier,Employer Identification Number (EIN),USA,Organization,TAX_ID,EIN,FEATURE,US employer tax ID; per crosswalk,,,
42,Identifier,Exchange Registration Number,Global,Organization,,,PAYLOAD,Stock/commodity exchange membership ID,,,
43,Identifier,FCRN Number,India,Organization,,,PAYLOAD,IN foreign company registration number,,,
44,Identifier,Federal Employer Identification Number (FEIN),USA,Organization,TAX_ID,EIN,FEATURE,Alias for EIN; per crosswalk,,,
45,Identifier,File Number,Global,Organization,,,PAYLOAD,Generic case/file reference; not an entity identifier,,,
46,Identifier,Fiscal Code Number,Italy,Individual / Organization,TAX_ID,FISCAL_CODE,FEATURE,IT taxpayer identification code (Codice Fiscale),,,
47,Identifier,FMC Unique Member Code,India,Organization,,,PAYLOAD,IN Forward Markets Commission member code,,,
48,Identifier,Gazette Number,Global,Individual / Organization,,,PAYLOAD,Government publication reference; not an entity identifier,,,
49,Identifier,Global Intermediary Identification Number (GIIN),Global,Organization,OTHER_ID,GIIN,FEATURE,FATCA financial institution identifier,,,
50,Identifier,GST Number,India,Organization,TAX_ID,GST,FEATURE,IN Goods and Services Tax ID,,,
51,Identifier,IATA Code,Global,Organization,,,PAYLOAD,Airline/airport code; short code not unique to entity,,,
52,Identifier,ICAI Firm Registration Number,India,Organization,,,PAYLOAD,IN chartered accountant firm registration,,,
53,Identifier,Identification Number,Global,Individual / Organization,OTHER_ID,,FEATURE,Generic ID; use OTHER_ID with type from source context,1,1,MISC-99887766 (1)
54,Identifier,identifikační číslo osoby (ICO),Czech Republic / Slovakia,Organization,NATIONAL_ID,ICO,FEATURE,CZ/SK company identification number,,,
55,Identifier,IMO Number,Global,Vessel,OTHER_ID,IMO,FEATURE,Vessel identifier; per entity spec maps to OTHER_ID,1,1,9876543 (1)
56,Identifier,Instituto Federal Electoral (IFE),Mexico,Individual,,,PAYLOAD,MX voter ID (now INE),,,
57,Identifier,International securities identification number (ISIN),Global,Organization,OTHER_ID,ISIN,FEATURE,Securities identifier; per entity spec example,,,
58,Identifier,Legal Entity Identifier (LEI),Global,Organization,LEI_NUMBER,,FEATURE,Map directly to LEI_NUMBER per crosswalk,1,1,529900TESTLEI00001 (1)
59,Identifier,License Number,Global,Individual / Organization,,,PAYLOAD,Generic license; use OTHER_ID with type context,,,
60,Identifier,Limited Liability Partnership Identification Number (LLPIN),India,Organization,NATIONAL_ID,LLPIN,FEATURE,IN LLP registration number,,,
61,Identifier,Maritime Mobile Service Identity (MMSI),Global,Vessel,OTHER_ID,MMSI,FEATURE,Vessel communication identifier,,,
62,Identifier,Matrícula Mercantil Number,Colombia,Organization,NATIONAL_ID,MATRICULA_MERCANTIL,FEATURE,CO company registration; per entity spec (Folio Mercantil),,,
63,Identifier,Membership ID,Global,Individual / Organization,,,PAYLOAD,Organization membership; can aid ER in smaller domains,,,
64,Identifier,MICEX Code,Russia,Organization,,,PAYLOAD,RU Moscow exchange securities code,,,
65,Identifier,Military Registration Number,Global,Individual,OTHER_ID,MILITARY_REG,FEATURE,Military personnel identifier,,,
66,Identifier,Military Service Number,Global,Individual,OTHER_ID,MILITARY_SERVICE,FEATURE,Armed forces personal ID,,,
67,Identifier,MSB Registration Number,Canada,Organization,,,PAYLOAD,CA Money Service Business registration,,,
68,Identifier,NAIC Number,USA,Organization,,,PAYLOAD,US insurance company identifier,,,
69,Identifier,National Center for Intellectual Capital (NCIC),Georgia,Organization,,,PAYLOAD,GE intellectual capital registry ID,,,
70,Identifier,National Economic Register Number,UAE,Organization,,,PAYLOAD,AE business register number,,,
71,Identifier,National Fiscal Code Number,Russia,Organization,TAX_ID,INN,FEATURE,RU taxpayer ID (same as INN),,,
72,Identifier,National Identification Number,Global,Individual,OTHER_ID,,FEATURE,Generic national ID; include country,,,
73,Identifier,National Identity Card (NIC),Sri Lanka,Individual,NATIONAL_ID,NIC,FEATURE,LK national ID card,,,
74,Identifier,National Insurance Number (NIN),United Kingdom,Individual,NATIONAL_ID,NINO,FEATURE,UK personal identifier (HMRC),,,
75,Identifier,National Producer Number,USA,Individual / Organization,,,PAYLOAD,US insurance producer/agent ID,,,
76,Identifier,National Provider Identifier,USA,Individual / Organization,NPI_NUMBER,,FEATURE,Map directly to NPI_NUMBER per crosswalk,,,
77,Identifier,Nomor Induk Kependudukan (NIK),Indonesia,Individual,NATIONAL_ID,NIK,FEATURE,ID national identification number,,,
78,Identifier,Número de Identificación de Extranjero (NIE),Spain,Individual,NATIONAL_ID,NIE,FEATURE,ES foreign resident ID,,,
79,Identifier,Número de Identificación Fiscal (NIF),Spain / Portugal,Individual / Organization,TAX_ID,NIF,FEATURE,ES/PT tax identification number,,,
80,Identifier,Número de Identificación Tributaria (NIT),Colombia,Organization,TAX_ID,NIT,FEATURE,CO taxpayer ID; per crosswalk,,,
81,Identifier,Numero Unico de Identificacao Tributaria (NUIT),Mozambique,Individual / Organization,TAX_ID,NUIT,FEATURE,MZ unique taxpayer ID,,,
82,Identifier,Others,Global,Individual / Organization / Vessel / Aircraft,,,PAYLOAD,Catch-all; map to OTHER_ID with type from source,,,
83,Identifier,Passport Number,Global,Individual,PASSPORT,,FEATURE,Map to PASSPORT per crosswalk; include country,1,1,X12345678 (1)
84,Identifier,Perm ID,Global,Organization,,,PAYLOAD,Refinitiv financial market entity identifier,,,
85,Identifier,Permanent Account Number (PAN),India,Individual / Organization,TAX_ID,PAN,FEATURE,IN tax ID; per crosswalk alias,,,
86,Identifier,Personal Identification Number,Global,Individual,,,PAYLOAD,Security PIN; not a stable entity identifier,,,
87,Identifier,Pilot License Number,Global,Individual,,,PAYLOAD,Aviation authority pilot certification,,,
88,Identifier,Primary State Registration Number (OGRN),Russia,Organization,NATIONAL_ID,OGRN,FEATURE,RU business registration; per entity spec,1,1,1027700000001 (1)
89,Identifier,Reference Number,Global,Individual / Organization,,,PAYLOAD,Generic document reference; not an entity identifier,,,
90,Identifier,Registration Number,Global,Organization,,,PAYLOAD,Generic entity registration; include country,,,
91,Identifier,Registration Reason Code (KPP),Russia,Organization,TAX_ID,KPP,FEATURE,RU tax registration classification code,,,
92,Identifier,Registro Federal de Contribuyentes (RFC),Mexico,Individual / Organization,TAX_ID,RFC,FEATURE,MX taxpayer ID,,,
93,Identifier,Russian National Classifier of Enterprises and Organizations (OKPO),Russia,Organization,NATIONAL_ID,OKPO,FEATURE,RU statistical ID for organizations,,,
94,Identifier,SAM Number,USA,Organization,,,PAYLOAD,US System for Award Management entity ID,,,
95,Identifier,SEBI Registration Number,India,Organization,,,PAYLOAD,IN securities regulator registration,,,
96,Identifier,SIRET number,France,Organization,NATIONAL_ID,SIRET,FEATURE,FR establishment identifier; per entity spec,,,
97,Identifier,Social Security Number (SSN),USA,Individual,SSN,,FEATURE,Map directly to SSN per crosswalk,1,1,78-05-1120 (1)
98,Identifier,State Identification Number of a Physical Person (IDNP),Moldova,Individual,NATIONAL_ID,IDNP,FEATURE,MD national personal ID,,,
99,Identifier,State Tax Serial Number (ST STN),Russia,Organization,TAX_ID,ST_STN,FEATURE,RU state tax serial number,,,
100,Identifier,SWIFT/BIC,Global,Organization,OTHER_ID,SWIFT_BIC,FEATURE,Bank identifier code for financial institutions,1,1,SMCPPAPA (1)
101,Identifier,Tax Identification Number (TIN),Global,Individual / Organization,TAX_ID,TIN,FEATURE,Generic tax ID; per crosswalk,1,1,CY12345678X (1)
102,Identifier,Temporary Travel Document,Global,Individual,OTHER_ID,TRAVEL_DOC,FEATURE,Travel document issued in lieu of passport; map to PASSPORT,,,
103,Identifier,Tourism License Number,Global,Organization,,,PAYLOAD,Licensed tourism operator,,,
104,Identifier,Trade License Number,Global,Organization,,,PAYLOAD,Business activity authorization,,,
105,Identifier,Travel Document Number,Global,Individual,OTHER_ID,TRAVEL_DOC,FEATURE,Travel-related official document; map to PASSPORT,,,
106,Identifier,Türkiye Cumhuriyeti Kimlik Numarası (TCKN),Turkey,Individual,NATIONAL_ID,TCKN,FEATURE,TR 11-digit personal identity number,,,
107,Identifier,UN/LOCODE,Global,Organization,,,PAYLOAD,Trade/transport location code,,,
108,Identifier,Unified Social Credit Code (USCC),China,Organization,NATIONAL_ID,USCC,FEATURE,CN unified business registration number,,,
109,Identifier,Unified State Register of Enterprises and Organizations of Ukraine (EDRPOU),Ukraine,Organization,NATIONAL_ID,EDRPOU,FEATURE,UA company identification code,,,
110,Identifier,Unified State Register of Legal Entities (USRLE),Russia,Organization,NATIONAL_ID,USRLE,FEATURE,RU national register of legal entities,,,
111,Identifier,Unified State Register of Legal Entities and Individual Entrepreneurs (UANIPIO),Ukraine,Organization / Individual,NATIONAL_ID,UANIPIO,FEATURE,UA register of entities and individuals,,,
112,Identifier,Unique Entity Number (UEN),Singapore,Organization,NATIONAL_ID,UEN,FEATURE,SG entity identifier,,,
113,Identifier,Unique ID,Afghanistan,Organization / Individual,,,PAYLOAD,SIGAR suspension/debarment list ID,,,
114,Identifier,Unique Identification Code (CUI),Romania,Organization,NATIONAL_ID,CUI,FEATURE,RO company identification number,,,
115,Identifier,Unique Physician Identification Number,USA,Individual,OTHER_ID,UPIN,FEATURE,Legacy US healthcare provider ID; different numbering system from NPI,,,
116,Identifier,Value Added Tax Number (VAT),Global,Organization,TAX_ID,VAT,FEATURE,VAT identifier; per crosswalk,,,
117,Identifier,Vendor Code,Global,Organization,,,PAYLOAD,Internal supplier/vendor code; not a government/standard ID,,,
118,Identifier,Yabancı Ülke VKN,Turkey,Organization,TAX_ID,VKN,FEATURE,TR tax ID for foreign entities,,,
119,Identifier,YKN Number,Turkey,Individual,,,PAYLOAD,TR national ID for individuals,,,
120,Identifier,Adjucating Order Number,Global,Individual / Organization,,,PAYLOAD,Legal/regulatory order reference; not an entity identifier,,,
121,Identifier,Afghan Money Service Provider License Number,Afghanistan,Individual / Organization,,,PAYLOAD,AF central bank MSP license,,,
122,Identifier,AFS Representative Number,Australia,Individual,,,PAYLOAD,AU financial services authorized representative,,,
123,Identifier,Agent Licence Number,Global,Individual / Organization,,,PAYLOAD,Licensed agent identifier,,,
124,Identifier,Aircraft Construction Number,Global,Organization,OTHER_ID,AIRCRAFT_CONSTRUCTION,FEATURE,Aircraft serial number from manufacturer,,,
125,Identifier,Aircraft Mode S Transponder Code,Global,Organization,OTHER_ID,MODE_S,FEATURE,Aircraft transponder identification code,,,
126,Identifier,Aircraft Serial Identification Number,Global,Organization,OTHER_ID,AIRCRAFT_SERIAL,FEATURE,Manufacturer serial number for aircraft,,,
127,Identifier,Aircraft Tail Number,Global,Organization,OTHER_ID,AIRCRAFT_TAIL,FEATURE,Aircraft registration number on tail,1,1,N12345 (1)
128,Identifier,Alternative Investment Fund (AIF) Number,India,Organization,,,PAYLOAD,IN alternative investment fund registration,,,
129,Identifier,ANID Number,Global,Individual / Organization,,,PAYLOAD,Digital/administrative registration ID,,,
130,Identifier,Appeal Number,Global,Individual / Organization,,,PAYLOAD,Court/tribunal case reference; not an entity identifier,,,
131,Identifier,Application Reference Number (ARN),Global,Individual / Organization,,,PAYLOAD,Application tracking reference; not an entity identifier,,,
132,Identifier,Australian Credit Licence Number,Australia,Organization,,,PAYLOAD,AU credit provider license,,,
133,Identifier,Australian Financial Services Licence Number,Australia,Organization,,,PAYLOAD,AU financial services license,,,
134,Identifier,Australian Registered Body Number (ARBN),Australia,Organization,,,PAYLOAD,AU foreign company registration number,,,
135,Identifier,Australian Securities Exchange (ASX) Code,Australia,Organization,,,PAYLOAD,AU securities listing code,,,
136,Identifier,Bank Identification Number (BIN),Global,Organization,OTHER_ID,BIN,FEATURE,Payment card issuer identifier,,,
137,Identifier,Board Decision Number,Global,Organization,,,PAYLOAD,Board resolution reference; not an entity identifier,,,
138,Identifier,Branch Unit Number,Global,Organization,,,PAYLOAD,Company branch identifier,,,
139,Identifier,Brokerage Licence Number,Global,Organization,,,PAYLOAD,Brokerage services license,,,
140,Identifier,Cadastro de Pessoas Físicas (CPF),Brazil,Individual,TAX_ID,CPF,FEATURE,BR individual taxpayer ID (duplicate of #30),,,
141,Identifier,Cadastro Nacional da Pessoa Jurídica (CNPJ),Brazil,Organization,TAX_ID,CNPJ,FEATURE,BR corporate taxpayer ID,,,
142,Identifier,CAFM Number,Global,Organization,,,PAYLOAD,Facility management system ID; internal,,,
143,Identifier,Car Registration Number,Global,Individual / Organization,OTHER_ID,CAR_REG,FEATURE,Vehicle registration identifier,,,
144,Identifier,Cemetery Registration Number,Global,Organization,,,PAYLOAD,Licensed cemetery establishment,,,
145,Identifier,Central Registration System Number,Global,Individual / Organization,,,PAYLOAD,Centralized government/business registry,,,
146,Identifier,Certificate Number,Global,Individual / Organization,,,PAYLOAD,Generic certificate number; use with type context,,,
147,Identifier,Certificate of Authorisation Number,Global,Individual / Organization,,,PAYLOAD,Regulated activity authorization,,,
148,Identifier,Certified Public Accountant Number,Global,Individual,,,PAYLOAD,CPA license/registration,,,
149,Identifier,CFC Code,Italy,Organization,TAX_ID,CFC,FEATURE,IT tax identifier for foreign entities,,,
150,Identifier,Charity Regulatory Authority Number,Global,Organization,,,PAYLOAD,Recognized charity registration,,,
151,Identifier,CIP Number,Global,Individual / Organization,,,PAYLOAD,Financial/legal system identifier,,,
152,Identifier,Circular Ref. Number,Global,Individual / Organization,,,PAYLOAD,Regulatory circular reference; not an entity identifier,,,
153,Identifier,Civil Action Number,Global,Individual / Organization,,,PAYLOAD,Court case number; not an entity identifier,,,
154,Identifier,Civil ID Number,Global,Individual,OTHER_ID,CIVIL_ID,FEATURE,National civil identification number,,,
155,Identifier,Clearing Number,Global,Organization,OTHER_ID,CLEARING,FEATURE,Bank/financial institution clearing code,,,
156,Identifier,Code Number,Global,Individual / Organization,,,PAYLOAD,Generic alphanumeric identifier; use with context,,,
157,Identifier,Communication Number,Global,Individual / Organization,,,PAYLOAD,Official correspondence reference; not an entity identifier,,,
158,Identifier,Company Code,Global,Organization,,,PAYLOAD,Regulator/exchange assigned company identifier,,,
159,Identifier,Company SSM Number,Malaysia,Organization,NATIONAL_ID,SSM,FEATURE,MY Companies Commission registration,,,
160,Identifier,Complaint Number,Global,Individual / Organization,,,PAYLOAD,Complaint tracking reference; not an entity identifier,,,
161,Identifier,Consent Order Number,Global,Individual / Organization,,,PAYLOAD,Regulatory order reference; not an entity identifier,,,
162,Identifier,Corporate Agent License Number,India,Organization,,,PAYLOAD,IN insurance corporate agent license,,,
163,Identifier,Corporate Number,Japan,Organization,NATIONAL_ID,CORPORATE_JP,FEATURE,JP 13-digit company number from NTA,,,
164,Identifier,CPA Registration Number,Global,Individual,,,PAYLOAD,Certified Public Accountant registration,,,
165,Identifier,CRD Number,USA,Individual,,,PAYLOAD,US FINRA broker-dealer/investment advisor ID,,,
166,Identifier,Credencial electoral,Mexico,Individual,,,PAYLOAD,MX voter ID (INE),,,
167,Identifier,Credit licence Number,Global,Organization,,,PAYLOAD,Regulator-issued credit license,,,
168,Identifier,CVR Number,Denmark,Organization,NATIONAL_ID,CVR,FEATURE,DK Central Business Register number,,,
169,Identifier,CVRA Number,UK,Organization,,,PAYLOAD,UK vehicle registration/approval,,,
170,Identifier,DARPAN ID,India,Organization,,,PAYLOAD,IN NGO/VO unique ID,,,
171,Identifier,Dealer Number,Global,Individual / Organization,,,PAYLOAD,Licensed dealer identifier,,,
172,Identifier,Decision Number,Global,Individual / Organization,,,PAYLOAD,Regulator/court decision reference; not an entity identifier,,,
173,Identifier,Demat Account Number,India,Individual,ACCOUNT,DEMAT,FEATURE,IN dematerialized securities account,,,
174,Identifier,DFE Number,UK,Organization,,,PAYLOAD,UK school identifier,,,
175,Identifier,Direct Entry Booking Number,Global,Individual / Organization,,,PAYLOAD,Booking reference; not an entity identifier,,,
176,Identifier,DMCC License Number,UAE,Organization,,,PAYLOAD,AE Dubai Multi Commodities Centre license,,,
177,Identifier,DOC Number,Global,Individual / Organization,,,PAYLOAD,Generic document ID; too vague for ER,,,
178,Identifier,Docket Number,Global,Individual / Organization,,,PAYLOAD,Court/legal filing tracking number,,,
179,Identifier,Download Ref Number,Global,Individual / Organization,,,PAYLOAD,System-generated download reference,,,
180,Identifier,DRKIV,Global,Individual / Organization,,,PAYLOAD,Official registration/record-keeping identifier,,,
181,Identifier,Economic Operators Registration and Identification Number (EORI),EU / UK,Organization,,,PAYLOAD,EU/UK customs business ID,,,
182,Identifier,EIF Number,Luxembourg / EU,Organization,,,PAYLOAD,EU fund registration identifier,,,
183,Identifier,EMTAK Code,Estonia,Organization,,,PAYLOAD,Economic activity classification code; not unique to entity,,,
184,Identifier,EPA License Number,USA,Organization,,,PAYLOAD,US Environmental Protection Agency license,,,
185,Identifier,Equity Ticker,Global,Organization,,,PAYLOAD,Stock ticker symbol,,,
186,Identifier,Financial Services Register Number,United Kingdom,Organization,,,PAYLOAD,UK regulated financial service provider ID,,,
187,Identifier,FIR Number,India,Individual,,,PAYLOAD,Police criminal complaint reference; not an entity identifier,,,
188,Identifier,Firm Number,Global,Organization,,,PAYLOAD,Regulatory financial services firm ID,,,
189,Identifier,Firm Registration Number (FRN),United Kingdom,Organization,NATIONAL_ID,FRN,FEATURE,UK FCA firm registration number,,,
190,Identifier,Folio Mercantil Number,Latin America,Organization,,,PAYLOAD,LATAM commercial registry; per entity spec,,,
191,Identifier,Foreign Employer Identification Number (FE ID),United States,Organization,TAX_ID,FEIN_FOREIGN,FEATURE,US tax ID for foreign employers,,,
192,Identifier,Foreign Institutional Investor Registration Number,India,Organization,,,PAYLOAD,IN foreign investor registration,,,
193,Identifier,FPI Registration Number,India,Organization,,,PAYLOAD,IN foreign portfolio investor registration,,,
194,Identifier,FSCO Licence Number,Canada,Organization,,,PAYLOAD,CA insurance/financial services license,,,
195,Identifier,FSSAI Registration Number,India,Organization,,,PAYLOAD,IN food safety registration,,,
196,Identifier,GD Number,Global,Organization,,,PAYLOAD,Property/planning registration record; too generic,,,
197,Identifier,General Index Register Number,India,Individual / Organization,,,PAYLOAD,Document registrar reference; not an entity identifier,,,
198,Identifier,GKN Number,Turkey,Individual / Organization,TAX_ID,GKN,FEATURE,TR taxpayer/business identifier,,,
199,Identifier,HCE Number,Luxembourg / EU,Organization,,,PAYLOAD,Healthcare establishment identifier,,,
200,Identifier,IARD Number,United States,Organization,,,PAYLOAD,US investment adviser registration (FINRA/SEC),,,
201,Identifier,ICAI Membership Number,India,Individual,,,PAYLOAD,IN chartered accountant membership,,,
202,Identifier,IDE Number,Switzerland,Organization,NATIONAL_ID,IDE,FEATURE,CH Swiss Business Identification Number,,,
203,Identifier,Immigration Number,Global,Individual,OTHER_ID,IMMIGRATION,FEATURE,Foreign national immigration/visa/residency ID,,,
204,Identifier,Import and Export Enterprise Code,China,Organization,,,PAYLOAD,CN authorized import/export enterprise code,,,
205,Identifier,Importer Exporter Code Number,India,Organization,,,PAYLOAD,IN DGFT import/export code,,,
206,Identifier,INB Number,United States,Organization,,,PAYLOAD,US FINRA brokerage/trader ID,,,
207,Identifier,Incorporation Identification Number,India,Organization,OTHER_ID,CIN,FEATURE,IN corporate ID (same as CIN #29),,,
208,Identifier,Incorporation Number,Global,Organization,,,PAYLOAD,Company incorporation number; include country,,,
209,Identifier,Inmate Number,Global,Individual,OTHER_ID,INMATE,FEATURE,Prisoner identification number,,,
210,Identifier,INN Number,Russia,Individual / Organization,TAX_ID,INN,FEATURE,RU taxpayer ID; per crosswalk,1,1,7710000001 (1)
211,Identifier,Insurance Agent License,Global,Individual,,,PAYLOAD,Insurance sales agent license,,,
212,Identifier,Insurance License Number,Global,Individual / Organization,,,PAYLOAD,Insurance services license,,,
213,Identifier,Insurer License Number,Global,Organization,,,PAYLOAD,Insurance company operating license,,,
214,Identifier,International Bank Account Number (IBAN),Global,Individual / Organization,ACCOUNT,IBAN,FEATURE,Standardized international bank account format,1,1,DE89370400440532013000 (1)
215,Identifier,International Standard Name Identifier,Global,Individual / Organization,OTHER_ID,ISNI,FEATURE,Public identity identifier (authors/artists/researchers),,,
216,Identifier,LE Number,India,Organization,,,PAYLOAD,IN Labour Enforcement number,,,
217,Identifier,Legal Identification Number,Global,Individual / Organization,OTHER_ID,LEGAL_ID,FEATURE,Generic legal recognition identifier,,,
218,Identifier,Life Insurance Agent Licence Number,Global,Individual,,,PAYLOAD,Life insurance sales license,,,
219,Identifier,Limousine Carrier Registration Number,United States,Organization,,,PAYLOAD,US limousine service provider registration,,,
220,Identifier,Litigation Release Number,United States,Organization / Individual,,,PAYLOAD,SEC litigation release reference; not an entity identifier,,,
221,Identifier,LLP Identification Number,India,Organization,,,PAYLOAD,IN LLP registration (same as LLPIN #60),,,
222,Identifier,Member Code,Global,Individual / Organization,,,PAYLOAD,Regulatory/financial/trade body membership code,,,
223,Identifier,Membership Number,Global,Individual,,,PAYLOAD,Professional body membership ID,,,
224,Identifier,Military Unit Number,Global,Organization,,,PAYLOAD,Military unit designation; not an entity identifier,,,
225,Identifier,Mortgage Agent License Number,United States / Canada,Individual,,,PAYLOAD,Mortgage agent license,,,
226,Identifier,Mortgage Broker License Number,United States / Canada,Individual / Organization,,,PAYLOAD,Mortgage broker license,,,
227,Identifier,Mortuary Science Establishment License Number,United States,Organization,,,PAYLOAD,US mortuary establishment license,,,
228,Identifier,Mortuary Science License Number,United States,Individual,,,PAYLOAD,US funeral director/embalmer license,,,
229,Identifier,National Court Register,Poland,Organization,NATIONAL_ID,KRS,FEATURE,PL public register of companies,,,
230,Identifier,National Tax Number (NTN),Pakistan,Individual / Organization,TAX_ID,NTN,FEATURE,PK taxpayer identification number,,,
231,Identifier,Nationwide Multistate Licensing System & Registry (NMLS) Number,United States,Individual / Organization,,,PAYLOAD,US mortgage/financial services firm ID,,,
232,Identifier,NBM Decision Number,Moldova,Organization,,,PAYLOAD,National Bank of Moldova regulatory decision reference,,,
233,Identifier,NBM Letter Number,Moldova,Organization,,,PAYLOAD,National Bank of Moldova correspondence reference,,,
234,Identifier,NRE Number,India,Organization,,,PAYLOAD,IN National Register of Establishments,,,
235,Identifier,NUF Number,Norway,Organization,,,PAYLOAD,NO branch register for foreign entities,,,
236,Identifier,ODRN,Russia,Individual,,,PAYLOAD,RU individual entrepreneur registration (OGRNIP),,,
237,Identifier,OEPL Number,India,Organization,,,PAYLOAD,RBI order/permission reference; not an entity identifier,,,
238,Identifier,Operating Licence Number,Global,Organization,,,PAYLOAD,Business operating license,,,
239,Identifier,Order Number,Global,Individual / Organization,,,PAYLOAD,Court/regulatory/transaction order reference,,,
240,Identifier,Organization Code,China,Organization,,,PAYLOAD,CN legacy entity identifier (predecessor to USCC),,,
241,Identifier,Package Number,Global,Organization / Individual,,,PAYLOAD,Logistics tracking number,,,
